beta,temperature,order_parameter
0.1,10.0,2.3211527e-13
1.0,1.0,4.3816413e-12
2.0,0.5,3.2256925e-10
4.0,0.25,6.6264374e-07
5.0,0.2,7.8294806e-06
6.0,0.16666666666666666,5.6127185e-05
7.0,0.14285714285714285,0.0002861908
8.0,0.125,0.001126661
9.0,0.1111111111111111,0.003600179
9.1,0.10989010989010989,0.0040351045
9.3,0.1075268817204301,0.004991076
9.5,0.10526315789473684,0.0061438158
9.7,0.10309278350515465,0.0074385963
9.9,0.10101010101010101,0.0089156302
10.1,0.09900990099009901,0.010614959
10.3,0.0970873786407767,0.012883921
10.5,0.09523809523809523,0.015037913
10.7,0.09345794392523366,0.01775986
10.9,0.09174311926605504,0.020812634
11.0,0.09090909090909091,0.022318203
11.1,0.0900900900900901,0.024138268
11.3,0.08849557522123894,0.027505906
11.5,0.08695652173913043,0.031496469
11.7,0.08547008547008547,0.035658374
11.9,0.08403361344537814,0.039850395
12.1,0.08264462809917356,0.043890741
12.3,0.08130081300813008,0.048865762
12.5,0.08,0.053502657
12.7,0.07874015748031496,0.057267986
12.9,0.07751937984496124,0.062365454
13.0,0.07692307692307693,0.06370236
13.3,0.07518796992481203,0.070008792
13.5,0.07407407407407407,0.07377103
13.7,0.07299270072992702,0.077586561
14.0,0.07142857142857142,0.082638808
14.1,0.07092198581560284,0.083882622
15.0,0.06666666666666667,0.095433414
16.0,0.0625,0.1044207
18.0,0.05555555555555555,0.1151015
19.0,0.05263157894736842,0.1181555
21.0,0.047619047619047616,0.1220164
22.0,0.045454545454545456,0.123574
23.0,0.043478260869565216,0.1248403
24.0,0.041666666666666664,0.1251258
25.0,0.04,0.1265959
26.0,0.038461538461538464,0.1266558
27.0,0.037037037037037035,0.1276091
28.0,0.03571428571428571,0.1278487
29.0,0.034482758620689655,0.1282528
30.0,0.03333333333333333,0.128705
